FID,Z,Lat,Lon
201,0.000000000000000,-72.8492966,67.3252029
202,0.000000000000000,-72.8489990,67.3254013
203,0.000000000000000,-72.8487015,67.3255005
204,0.000000000000000,-72.8483963,67.3255997
205,0.000000000000000,-72.8481979,67.3257980
206,0.000000000000000,-72.8479004,67.3258972
207,0.000000000000000,-72.8476028,67.3259964
208,0.000000000000000,-72.8473969,67.3261032
209,0.000000000000000,-72.8470993,67.3263016
210,0.000000000000000,-72.8468018,67.3264008
211,0.000000000000000,-72.8466034,67.3264999
212,0.000000000000000,-72.8462982,67.3265991
213,0.000000000000000,-72.8460007,67.3267975
214,0.000000000000000,-72.8458023,67.3268967
215,0.000000000000000,-72.8454971,67.3270035
216,0.000000000000000,-72.8451996,67.3271027
217,0.000000000000000,-72.8450012,67.3273010
218,0.000000000000000,-72.8447037,67.3274002
219,0.000000000000000,-72.8443985,67.3274994
220,0.000000000000000,-72.8442001,67.3275986
221,0.000000000000000,-72.8439026,67.3277969
222,0.000000000000000,-72.8435974,67.3279037
223,0.000000000000000,-72.8433990,67.3280029
224,0.000000000000000,-72.8431015,67.3281021
225,0.000000000000000,-72.8427963,67.3283005
226,0.000000000000000,-72.8425980,67.3283997
227,0.000000000000000,-72.8423004,67.3284988
228,0.000000000000000,-72.8420029,67.3285980
229,0.000000000000000,-72.8417969,67.3287964
230,0.000000000000000,-72.8414993,67.3289032
231,0.000000000000000,-72.8412018,67.3290024
232,0.000000000000000,-72.8410034,67.3291016
233,0.000000000000000,-72.8406982,67.3292999
234,0.000000000000000,-72.8404007,67.3293991
235,0.000000000000000,-72.8402023,67.3294983
236,0.000000000000000,-72.8398972,67.3295975
237,0.000000000000000,-72.8395996,67.3298035
238,0.000000000000000,-72.8394012,67.3299026
239,322.148199999999970,-72.8391037,67.3300018
240,342.613400000000010,-72.8387985,67.3301010
241,409.461299999999990,-72.8386002,67.3302994
242,81.536000000000001,-72.8383026,67.3303986
243,0.000000000000000,-72.8379974,67.3304977
244,0.000000000000000,-72.8377991,67.3305969
245,0.000000000000000,-72.8375015,67.3308029
246,0.000000000000000,-72.8371964,67.3309021
247,0.000000000000000,-72.8369980,67.3310013
248,0.000000000000000,-72.8367004,67.3311005
249,0.000000000000000,-72.8364029,67.3312988
