Latitude (deg),Sea Floor (m),Sea Floor + Refraction (m),Mean Sea Level (m),Sea Floor Depth (m),Sea Floor + Refraction Depth (m),Refraction Depth % Decrease
-71.63939916,83.42962646,83.71147914,84.5386,1.108973535,0.827120859,-25.41563596
-71.63941172,83.48621368,83.75368496,84.5386,1.052386316,0.784915043,-25.41569281
-71.63942425,83.95316315,84.10196118,84.5386,0.585436853,0.436638819,-25.41658134
-71.63942427,83.57048035,83.8165356,84.5386,0.968119653,0.722064397,-25.41578977
-71.63942427,83.55094147,83.80196245,84.5386,0.987658533,0.736637553,-25.41576582
-71.63943051,84.27328491,84.34072535,84.5386,0.265315088,0.197874652,-25.41899752
-71.63944311,83.52838898,83.78514158,84.5386,1.010211023,0.753458423,-25.41573932
-71.6394745,83.45301819,83.72892596,84.5386,1.085581812,0.809674043,-25.41565876
-71.63948078,83.38163757,83.67568642,84.5386,1.156962427,0.862913575,-25.41559213
-71.63948705,83.55677795,83.80631562,84.5386,0.981822046,0.732284385,-25.41577289
-71.63949328,84.27616882,84.34287633,84.5386,0.262431177,0.195723675,-25.41904609
-71.63951843,83.50112152,83.76480403,84.5386,1.037478479,0.77379597,-25.41570884
-71.63951839,84.14030457,84.2415414,84.5386,0.398295435,0.297058604,-25.41752225
-71.63951841,83.87172699,84.04122168,84.5386,0.66687301,0.49737832,-25.41633682
-71.63953724,83.60016632,83.83867701,84.5386,0.938433679,0.699922988,-25.4158281
-71.63955607,83.55752563,83.80687328,84.5386,0.981074365,0.731726724,-25.41577381
-71.63955607,83.50770569,83.76971486,84.5386,1.030894312,0.76888514,-25.41571606
-71.63956861,83.56534576,83.81270595,84.5386,0.973254236,0.725894047,-25.41578341
-71.63958116,83.50839233,83.770227,84.5386,1.030207666,0.768373003,-25.41571682
-71.63958116,83.54147339,83.79490064,84.5386,0.997126611,0.743699359,-25.41575457
-71.63958742,83.65275574,83.87790105,84.5386,0.885844263,0.660698951,-25.41590227
-71.63959997,83.61398315,83.84898236,84.5386,0.924616846,0.689617645,-25.41584677
-71.63960625,83.40096283,83.69010025,84.5386,1.13763717,0.848499751,-25.41560936
-71.63961879,83.37449646,83.6703602,84.5386,1.16410354,0.868239805,-25.41558593
-71.6396376,83.4394989,83.71884254,84.5386,1.099101099,0.81975746,-25.41564549
-71.63965641,83.44422913,83.7223706,84.5386,1.094370874,0.816229402,-25.4156501
-71.63965641,83.41499329,83.70056492,84.5386,1.123606714,0.838035076,-25.41562222
-71.63966267,83.44998169,83.72666117,84.5386,1.088618311,0.811938828,-25.41565576
-71.63966892,83.79408264,83.98331032,84.5386,0.744517358,0.555289684,-25.41615348
-71.63966894,83.48755646,83.75468647,84.5386,1.051043542,0.783913529,-25.41569426
-71.63966891,83.95823669,84.10574531,84.5386,0.580363306,0.432854692,-25.41659887
-71.63967521,83.46762085,83.73981741,84.5386,1.07097915,0.798782586,-25.41567349
-71.63967521,83.38172913,83.67575471,84.5386,1.156870874,0.86284529,-25.41559222
-71.63968143,84.27813721,84.34434445,84.5386,0.260462793,0.194255548,-25.41907986
-71.63968145,83.88598633,84.05185707,84.5386,0.652613672,0.486742932,-25.41637523
-71.63968773,83.6756134,83.89494954,84.5386,0.862986597,0.643650464,-25.41593732
-71.63970655,83.38356018,83.67712041,84.5386,1.155039819,0.86147959,-25.41559383
-71.63971277,84.1872406,84.27654884,84.5386,0.351359399,0.262051164,-25.41791545
-71.63971904,84.11374664,84.22173306,84.5386,0.424853357,0.316866942,-25.41733826
-71.63971907,83.54267883,83.79579973,84.5386,0.995921167,0.742800273,-25.41575599
-71.63972535,83.42645264,83.70911193,84.5386,1.112147363,0.829488071,-25.41563297
-71.63972531,84.07115173,84.18996347,84.5386,0.467448267,0.348636535,-25.41708681
-71.63973159,83.75288391,83.95258207,84.5386,0.785716089,0.58601793,-25.41607092
-71.63973159,83.88882446,84.0539739,84.5386,0.649775537,0.484626097,-25.41638308
-71.63973788,83.37529755,83.67095769,84.5386,1.163302454,0.867642311,-25.41558662
-71.63973784,84.0844574,84.19988755,84.5386,0.454142603,0.338712449,-25.41716029
-71.63974415,83.38774872,83.68024445,84.5386,1.150851282,0.858355552,-25.41559752
-71.63975039,83.70393372,83.91607236,84.5386,0.834666284,0.62252764,-25.41598341
-71.63976292,83.81325531,83.99761033,84.5386,0.72534469,0.540989668,-25.41619511
-71.6397629,84.08013153,84.19666108,84.5386,0.458468469,0.341938915,-25.41713594
-71.63977544,83.99781036,84.1352615,84.5386,0.540789636,0.403338504,-25.41674669
-71.63978797,83.90414429,84.06540026,84.5386,0.634455713,0.473199742,-25.41642664
-71.63978796,84.0072403,84.14229485,84.5386,0.531359705,0.39630515,-25.41678516
-71.63979424,83.76715851,83.96322884,84.5386,0.771441492,0.575371162,-25.41609853
-71.63980053,83.39344025,83.6844895,84.5386,1.145159753,0.854110502,-25.41560259
-71.63980051,83.6852417,83.90213084,84.5386,0.853358301,0.636469159,-25.41595265
-71.63980679,83.39433289,83.68515528,84.5386,1.144267114,0.853444723,-25.41560338
-71.63981931,83.61503601,83.84976763,84.5386,0.923563989,0.688832368,-25.41584822
-71.63981928,84.02396393,84.15476824,84.5386,0.514636072,0.383831758,-25.41685686
-71.63983183,83.60951996,83.84565346,84.5386,0.929080042,0.692946538,-25.41584068
-71.63983179,84.28121948,84.34664338,84.5386,0.257380518,0.19195662,-25.41913376
-71.63983182,83.74635315,83.94771107,84.5386,0.792246851,0.590888927,-25.41605862
-71.6398381,83.42525482,83.70821853,84.5386,1.113345178,0.830381467,-25.41563184
-71.63984434,83.94017792,84.09227609,84.5386,0.598422083,0.446323907,-25.41653791
-71.63984436,83.59429169,83.83429539,84.5386,0.944308313,0.704304609,-25.41582033
-71.63984436,83.56613159,83.81329207,84.5386,0.972468408,0.725307934,-25.41578438
-71.63985061,83.7095108,83.92023205,84.5386,0.829089197,0.618367946,-25.41599286
-71.63985063,83.51798248,83.77737985,84.5386,1.020617517,0.76122015,-25.41572751
-71.6398506,84.01720428,84.14972653,84.5386,0.521395715,0.388873467,-25.41682732
-71.6398569,83.37367249,83.66974563,84.5386,1.164927515,0.868854369,-25.41558521
-71.63986314,83.69940186,83.91269225,84.5386,0.839198145,0.625907747,-25.41597583
-71.63986941,83.55826569,83.80742525,84.5386,0.980334314,0.731174753,-25.41577471
-71.63986941,83.52007294,83.77893902,84.5386,1.018527063,0.759660976,-25.41572987
-71.63986941,83.55414581,83.80435242,84.5386,0.984454187,0.734247578,-25.4157697
-71.63988192,83.83019257,84.01024306,84.5386,0.708407434,0.528356945,-25.41623375
-71.63988816,84.22121429,84.30188826,84.5386,0.317385706,0.236711742,-25.4182726
-71.63988817,84.02030182,84.15203684,84.5386,0.518298181,0.386563158,-25.41684076
-71.63988817,83.87030792,84.04016326,84.5386,0.668292078,0.498436737,-25.41633309
-71.63988819,83.51757813,83.77707826,84.5386,1.021021875,0.761521742,-25.41572705
-71.63988819,83.55428314,83.80445485,84.5386,0.984316858,0.734145151,-25.41576987
-71.63989445,83.6316452,83.86215567,84.5386,0.906954797,0.676444332,-25.41587146
-71.63989443,83.98101807,84.12273689,84.5386,0.557581934,0.41586311,-25.4166814
-71.63989445,83.61756897,83.85165685,84.5386,0.92103103,0.686943149,-25.41585171
-71.63989445,83.69888306,83.9123053,84.5386,0.839716943,0.626294695,-25.41597497
-71.63990068,84.131073,84.23465599,84.5386,0.407527002,0.303944007,-25.41745558
-71.63992574,83.91791534,84.07567146,84.5386,0.620684656,0.462928541,-25.41646764
-71.63992575,83.69830322,83.91187283,84.5386,0.840296777,0.626727167,-25.415974
-71.63994453,83.80863953,83.99416763,84.5386,0.729960474,0.54443237,-25.41618489
-71.63995078,83.99261475,84.13138632,84.5386,0.545985254,0.407213678,-25.41672606
-71.63996332,83.5993042,83.83803399,84.5386,0.939295801,0.700566005,-25.41582696
-71.63996956,83.85848999,84.03134881,84.5386,0.68011001,0.507251192,-25.4163026
-71.63996959,83.4753952,83.74561595,84.5386,1.063204797,0.792984052,-25.4156815
-71.63996957,83.80153656,83.98886985,84.5386,0.73706344,0.549730147,-25.41616941
-71.63998208,83.9332962,84.08714334,84.5386,0.605303796,0.451456662,-25.41651563
-71.63998835,83.67546082,83.89483573,84.5386,0.863139185,0.643764273,-25.41593708
-71.63998835,83.81693268,84.00035311,84.5386,0.721667322,0.538246888,-25.41620334
-71.63999461,83.72674561,83.9330867,84.5386,0.811854395,0.605513296,-25.41602288
-71.64000713,83.68883514,83.90481103,84.5386,0.849764856,0.633788973,-25.41595846
-71.64000713,83.68703461,83.90346809,84.5386,0.851565393,0.635131911,-25.41595554
-71.64000713,83.70828247,83.9193159,84.5386,0.830317529,0.619284103,-25.41599077
-71.64000711,83.99894714,84.13610937,84.5386,0.539652856,0.402490632,-25.41675125
-71.64001339,83.7463913,83.94773953,84.5386,0.792208704,0.590860475,-25.41605869
-71.64001963,84.01716614,84.14969808,84.5386,0.521433862,0.388901919,-25.41682716
-71.64002589,84.04111481,84.1675603,84.5386,0.497485193,0.371039703,-25.41693539
-71.6400259,83.81570435,83.99943696,84.5386,0.722895654,0.539163045,-25.41620058
-71.64003215,83.99794006,84.13535823,84.5386,0.540659937,0.403241767,-25.41674721
-71.64003218,83.46478271,83.73770058,84.5386,1.073817285,0.800899421,-25.4156706
-71.64003842,83.86415863,84.03557679,84.5386,0.67444137,0.503023213,-25.41631709
-71.64004468,83.73513031,83.93934047,84.5386,0.80346969,0.599259529,-25.41603795
-71.64004467,84.01373291,84.14713739,84.5386,0.52486709,0.391462606,-25.41681245
-71.64005092,84.05521393,84.17807619,84.5386,0.483386072,0.360523814,-25.41700412
-71.64005094,83.83618164,84.01471003,84.5386,0.702418359,0.523889968,-25.41624786
-71.64005093,83.91892242,84.07642259,84.5386,0.619677576,0.462177406,-25.41647071
-71.64005095,83.66124725,83.88423448,84.5386,0.877352747,0.654365518,-25.41591508
-71.64006969,84.27217102,84.33989455,84.5386,0.266428979,0.198705453,-25.41897906
-71.64006971,83.91836548,84.07600719,84.5386,0.620234521,0.462592807,-25.41646901
-71.64007598,83.62605286,83.85798459,84.5386,0.912547144,0.680615407,-25.41586354
-71.64008848,84.00184631,84.13827173,84.5386,0.536753687,0.400328274,-25.41676298
-71.64008846,84.25897217,84.33005013,84.5386,0.279627832,0.208549873,-25.41877136
-71.64009475,83.62545013,83.85753505,84.5386,0.913149866,0.68106495,-25.41586269
-71.64010099,84.03610992,84.16382738,84.5386,0.502490076,0.374772616,-25.41691191
-71.6401135,84.23812103,84.31449822,84.5386,0.300478967,0.22410178,-25.41848043
-71.64011353,83.60378265,83.84137427,84.5386,0.934817346,0.697225731,-25.41583293
-71.64011978,83.74384308,83.94583893,84.5386,0.794756921,0.592761074,-25.41605393
-71.64013231,83.57965851,83.82338117,84.5386,0.958941492,0.715218827,-25.41580137
-71.64013227,84.17053986,84.26409251,84.5386,0.368060144,0.274507485,-25.41776403
-71.64013231,83.58412933,83.82671576,84.5386,0.954470667,0.711884243,-25.4158071
-71.64014481,83.75621796,83.95506878,84.5386,0.782382043,0.583531219,-25.41607726
-71.64016354,84.16162109,84.25744042,84.5386,0.376978906,0.281159582,-25.41768867
-71.64016356,83.73378754,83.93833896,84.5386,0.804812463,0.600261042,-25.41603549
-71.64017606,84.12630463,84.23109948,84.5386,0.412295374,0.307500517,-25.41742228
